PassengerId,Survived
0,1.9078921885684608e-06
1,1.8728217148211712e-06
2,2.0483862154252463e-06
3,2.0483862154252463e-06
4,1.939838340847544e-06
5,1.874572024052057e-06
6,1.8743684647715142e-06
7,1.9085189699730165e-06
8,2.2358062532479295e-06
9,1.9084324730522795e-06
10,1.9751626278985412e-06
11,1.8730955442247677e-06
12,1.9418594986442272e-06
13,1.908063750222233e-06
14,1.873701763077662e-06
15,1.8728536441692256e-06
16,2.084523134548988e-06
17,1.976071077436359e-06
18,1.8747775845096015e-06
19,1.8725935538865812e-06
20,1.9064357051901126e-06
21,1.8747784403805312e-06
22,2.08243572275002e-06
23,1.8750809415157832e-06
24,1.9058070036548358e-06
25,1.9065780727522963e-06
26,1.8752344661532305e-06
27,1.8749182920663188e-06
28,2.120696123930621e-06
29,2.120440848130123e-06
30,1.8749082412172768e-06
31,1.873009740083198e-06
32,2.00968302765947e-06
33,1.8728436196324694e-06
34,1.8752758944584613e-06
35,1.8746508945177709e-06
36,1.8751248982429303e-06
37,1.875349007418592e-06
38,2.0831575652247025e-06
39,2.0831575652247025e-06
40,1.9423557602316066e-06
41,1.8738240228355352e-06
42,1.8733471811582803e-06
43,1.873063034119049e-06
44,1.8729683280982456e-06
45,1.9426709986225532e-06
46,1.9079696406132385e-06
47,1.8752574070246553e-06
48,1.8747833697707605e-06
49,2.012654931826674e-06
50,2.047733806631591e-06
51,1.942076537586601e-06
52,1.8749167681741952e-06
53,1.87221613212607e-06
54,1.8744257063163516e-06
55,1.8749067171031086e-06
56,2.120907104941061e-06
57,1.8719298835456755e-06
58,1.8726872461627408e-06
59,2.2374092667476475e-06
60,2.2371830160627937e-06
61,0.0
62,1.9079699801194394e-06
63,1.8751242878423113e-06
64,2.196602249870949e-06
65,1.8731223160317612e-06
66,1.8747964644072468e-06
67,1.907610485241129e-06
68,1.8748686450020813e-06
69,1.8748137904367468e-06
70,1.874904938081734e-06
71,1.8744849165086563e-06
72,1.8731652051684478e-06
73,1.8759533066958767e-06
74,1.907627818598101e-06
75,1.9425662277638978e-06
76,1.8751592228971603e-06
77,1.873518532979901e-06
78,1.8731880421229974e-06
